WWGI/LSO_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Lesotho
WWGI/LSO_RQ_EST,Regulatory Quality; Estimate - Lesotho
WWGI/LSO_RQ_NO_SRC,Regulatory Quality; Number of Sources - Lesotho
WWGI/LSO_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Lesotho
WWGI/LSO_RQ_STD_ERR,Regulatory Quality; Standard Error - Lesotho
WWGI/LSO_RL_EST,Rule of Law; Estimate - Lesotho
WWGI/LSO_RL_NO_SRC,Rule of Law; Number of Sources - Lesotho
WWGI/LSO_RL_PER_RNK,Rule of Law; Percentile Rank - Lesotho
WWGI/LSO_RL_STD_ERR,Rule of Law; Standard Error - Lesotho
WWGI/LSO_VA_EST,Voice and Accountability; Estimate - Lesotho
WWGI/LSO_VA_NO_SRC,Voice and Accountability; Number of Sources - Lesotho
WWGI/LSO_VA_STD_ERR,Voice and Accountability; Standard Error - Lesotho
WWGI/LTU_CC_EST,Control of Corruption; Estimate - Lithuania
WWGI/LSO_VA_PER_RNK,Voice and Accountability; Percentile Rank - Lesotho
WWGI/LTU_CC_NO_SRC,Control of Corruption; Number of Sources - Lithuania
WWGI/LTU_CC_STD_ERR,Control of Corruption; Standard Error - Lithuania
WWGI/LTU_CC_PER_RNK,Control of Corruption; Percentile Rank - Lithuania
WWGI/LTU_GE_NO_SRC,Government Effectiveness; Number of Sources - Lithuania
WWGI/LTU_GE_EST,Government Effectiveness; Estimate - Lithuania
WWGI/LTU_GE_PER_RNK,Government Effectiveness; Percentile Rank - Lithuania
WWGI/LTU_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Lithuania
WWGI/LTU_GE_STD_ERR,Government Effectiveness; Standard Error - Lithuania
WWGI/LTU_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Lithuania
WWGI/LTU_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Lithuania
WWGI/LTU_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Lithuania
WWGI/LTU_RQ_EST,Regulatory Quality; Estimate - Lithuania
WWGI/LTU_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Lithuania
WWGI/LTU_RQ_NO_SRC,Regulatory Quality; Number of Sources - Lithuania
WWGI/LTU_RQ_STD_ERR,Regulatory Quality; Standard Error - Lithuania
WWGI/LTU_RL_NO_SRC,Rule of Law; Number of Sources - Lithuania
WWGI/LTU_RL_EST,Rule of Law; Estimate - Lithuania
WWGI/LTU_RL_PER_RNK,Rule of Law; Percentile Rank - Lithuania
WWGI/LTU_VA_EST,Voice and Accountability; Estimate - Lithuania
WWGI/LTU_RL_STD_ERR,Rule of Law; Standard Error - Lithuania
WWGI/LTU_VA_NO_SRC,Voice and Accountability; Number of Sources - Lithuania
WWGI/LTU_VA_STD_ERR,Voice and Accountability; Standard Error - Lithuania
WWGI/LTU_VA_PER_RNK,Voice and Accountability; Percentile Rank - Lithuania
WWGI/LUX_CC_EST,Control of Corruption; Estimate - Luxembourg
WWGI/LUX_CC_NO_SRC,Control of Corruption; Number of Sources - Luxembourg
WWGI/LUX_CC_PER_RNK,Control of Corruption; Percentile Rank - Luxembourg
WWGI/LUX_CC_STD_ERR,Control of Corruption; Standard Error - Luxembourg
WWGI/LUX_GE_EST,Government Effectiveness; Estimate - Luxembourg
WWGI/LUX_GE_STD_ERR,Government Effectiveness; Standard Error - Luxembourg
WWGI/LUX_GE_NO_SRC,Government Effectiveness; Number of Sources - Luxembourg
WWGI/LUX_GE_PER_RNK,Government Effectiveness; Percentile Rank - Luxembourg
WWGI/LUX_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Luxembourg
WWGI/LUX_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Luxembourg
WWGI/LUX_RQ_NO_SRC,Regulatory Quality; Number of Sources - Luxembourg
WWGI/LUX_RQ_EST,Regulatory Quality; Estimate - Luxembourg
WWGI/LUX_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Luxembourg
WWGI/LUX_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Luxembourg
WWGI/LUX_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Luxembourg
WWGI/LUX_RQ_STD_ERR,Regulatory Quality; Standard Error - Luxembourg
WWGI/LUX_RL_EST,Rule of Law; Estimate - Luxembourg
WWGI/LUX_RL_STD_ERR,Rule of Law; Standard Error - Luxembourg
WWGI/LUX_RL_PER_RNK,Rule of Law; Percentile Rank - Luxembourg
WWGI/LUX_RL_NO_SRC,Rule of Law; Number of Sources - Luxembourg
WWGI/LUX_VA_EST,Voice and Accountability; Estimate - Luxembourg
WWGI/LUX_VA_NO_SRC,Voice and Accountability; Number of Sources - Luxembourg
WWGI/LUX_VA_PER_RNK,Voice and Accountability; Percentile Rank - Luxembourg
WWGI/LVA_CC_EST,Control of Corruption; Estimate - Latvia
WWGI/LVA_CC_NO_SRC,Control of Corruption; Number of Sources - Latvia
WWGI/LUX_VA_STD_ERR,Voice and Accountability; Standard Error - Luxembourg
WWGI/LVA_CC_STD_ERR,Control of Corruption; Standard Error - Latvia
WWGI/LVA_GE_PER_RNK,Government Effectiveness; Percentile Rank - Latvia
WWGI/LVA_GE_NO_SRC,Government Effectiveness; Number of Sources - Latvia
WWGI/LVA_CC_PER_RNK,Control of Corruption; Percentile Rank - Latvia
WWGI/LVA_GE_EST,Government Effectiveness; Estimate - Latvia
WWGI/LVA_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Latvia
WWGI/LVA_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Latvia
WWGI/LVA_GE_STD_ERR,Government Effectiveness; Standard Error - Latvia
WWGI/LVA_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Latvia
WWGI/LVA_RQ_NO_SRC,Regulatory Quality; Number of Sources - Latvia
WWGI/LVA_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Latvia
WWGI/LVA_RQ_EST,Regulatory Quality; Estimate - Latvia
WWGI/LVA_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Latvia
WWGI/LVA_RQ_STD_ERR,Regulatory Quality; Standard Error - Latvia
WWGI/LVA_RL_EST,Rule of Law; Estimate - Latvia
WWGI/LVA_RL_PER_RNK,Rule of Law; Percentile Rank - Latvia
WWGI/LVA_RL_NO_SRC,Rule of Law; Number of Sources - Latvia
WWGI/LVA_VA_EST,Voice and Accountability; Estimate - Latvia
WWGI/LVA_RL_STD_ERR,Rule of Law; Standard Error - Latvia
WWGI/MAC_CC_EST,"Control of Corruption; Estimate - Macao SAR, China"
WWGI/LVA_VA_PER_RNK,Voice and Accountability; Percentile Rank - Latvia
WWGI/LVA_VA_NO_SRC,Voice and Accountability; Number of Sources - Latvia
WWGI/MAC_CC_NO_SRC,"Control of Corruption; Number of Sources - Macao SAR, China"
WWGI/MAC_CC_PER_RNK,"Control of Corruption; Percentile Rank - Macao SAR, China"
WWGI/LVA_VA_STD_ERR,Voice and Accountability; Standard Error - Latvia
WWGI/MAC_GE_EST,"Government Effectiveness; Estimate - Macao SAR, China"
WWGI/MAC_CC_STD_ERR,"Control of Corruption; Standard Error - Macao SAR, China"
WWGI/MAC_GE_PER_RNK,"Government Effectiveness; Percentile Rank - Macao SAR, China"
WWGI/MAC_GE_STD_ERR,"Government Effectiveness; Standard Error - Macao SAR, China"
WWGI/MAC_GE_NO_SRC,"Government Effectiveness; Number of Sources - Macao SAR, China"
WWGI/MAC_PV_EST,"Political Stability and Absence of Violence/Terrorism; Estimate - Macao SAR, China"
WWGI/MAC_PV_NO_SRC,"Political Stability and Absence of Violence/Terrorism; Number of Sources - Macao SAR, China"
WWGI/MAC_PV_PER_RNK,"Political Stability and Absence of Violence/Terrorism; Percentile Rank - Macao SAR, China"
WWGI/MAC_PV_STD_ERR,"Political Stability and Absence of Violence/Terrorism; Standard Error - Macao SAR, China"
WWGI/MAC_RQ_NO_SRC,"Regulatory Quality; Number of Sources - Macao SAR, China"
WWGI/MAC_RQ_EST,"Regulatory Quality; Estimate - Macao SAR, China"
WWGI/MAC_RQ_STD_ERR,"Regulatory Quality; Standard Error - Macao SAR, China"
WWGI/MAC_RQ_PER_RNK,"Regulatory Quality; Percentile Rank - Macao SAR, China"
WWGI/MAC_RL_EST,"Rule of Law; Estimate - Macao SAR, China"
WWGI/MAC_RL_PER_RNK,"Rule of Law; Percentile Rank - Macao SAR, China"
WWGI/MAC_RL_NO_SRC,"Rule of Law; Number of Sources - Macao SAR, China"
WWGI/MAC_RL_STD_ERR,"Rule of Law; Standard Error - Macao SAR, China"
WWGI/MAC_VA_EST,"Voice and Accountability; Estimate - Macao SAR, China"
WWGI/MAC_VA_PER_RNK,"Voice and Accountability; Percentile Rank - Macao SAR, China"
WWGI/MAR_CC_EST,Control of Corruption; Estimate - Morocco
WWGI/MAC_VA_NO_SRC,"Voice and Accountability; Number of Sources - Macao SAR, China"
WWGI/MAC_VA_STD_ERR,"Voice and Accountability; Standard Error - Macao SAR, China"
WWGI/MAR_CC_NO_SRC,Control of Corruption; Number of Sources - Morocco
WWGI/MAR_CC_PER_RNK,Control of Corruption; Percentile Rank - Morocco
WWGI/MAR_GE_EST,Government Effectiveness; Estimate - Morocco
WWGI/MAR_GE_NO_SRC,Government Effectiveness; Number of Sources - Morocco
WWGI/MAR_CC_STD_ERR,Control of Corruption; Standard Error - Morocco
WWGI/MAR_GE_STD_ERR,Government Effectiveness; Standard Error - Morocco
WWGI/MAR_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Morocco
WWGI/MAR_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Morocco
WWGI/MAR_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Morocco
WWGI/MAR_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Morocco
WWGI/MAR_RQ_EST,Regulatory Quality; Estimate - Morocco
WWGI/MAR_GE_PER_RNK,Government Effectiveness; Percentile Rank - Morocco
WWGI/MAR_RQ_NO_SRC,Regulatory Quality; Number of Sources - Morocco
WWGI/MAR_RQ_STD_ERR,Regulatory Quality; Standard Error - Morocco
WWGI/MAR_RL_NO_SRC,Rule of Law; Number of Sources - Morocco
WWGI/MAR_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Morocco
WWGI/MAR_RL_EST,Rule of Law; Estimate - Morocco
WWGI/MAR_RL_PER_RNK,Rule of Law; Percentile Rank - Morocco
WWGI/MAR_RL_STD_ERR,Rule of Law; Standard Error - Morocco
WWGI/MAR_VA_EST,Voice and Accountability; Estimate - Morocco
WWGI/MAR_VA_PER_RNK,Voice and Accountability; Percentile Rank - Morocco
WWGI/MAR_VA_NO_SRC,Voice and Accountability; Number of Sources - Morocco
WWGI/MAR_VA_STD_ERR,Voice and Accountability; Standard Error - Morocco
WWGI/MCO_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Monaco
WWGI/MCO_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Monaco
WWGI/MCO_RL_EST,Rule of Law; Estimate - Monaco
WWGI/MCO_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Monaco
WWGI/MCO_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Monaco
WWGI/MCO_RL_NO_SRC,Rule of Law; Number of Sources - Monaco
WWGI/MCO_RL_PER_RNK,Rule of Law; Percentile Rank - Monaco
WWGI/MCO_RL_STD_ERR,Rule of Law; Standard Error - Monaco
WWGI/MCO_VA_NO_SRC,Voice and Accountability; Number of Sources - Monaco
WWGI/MCO_VA_EST,Voice and Accountability; Estimate - Monaco
WWGI/MCO_VA_PER_RNK,Voice and Accountability; Percentile Rank - Monaco
WWGI/MDA_CC_EST,Control of Corruption; Estimate - Moldova
WWGI/MDA_CC_NO_SRC,Control of Corruption; Number of Sources - Moldova
WWGI/MDA_CC_STD_ERR,Control of Corruption; Standard Error - Moldova
WWGI/MCO_VA_STD_ERR,Voice and Accountability; Standard Error - Monaco
WWGI/MDA_GE_EST,Government Effectiveness; Estimate - Moldova
WWGI/MDA_CC_PER_RNK,Control of Corruption; Percentile Rank - Moldova
WWGI/MDA_GE_PER_RNK,Government Effectiveness; Percentile Rank - Moldova
WWGI/MDA_GE_STD_ERR,Government Effectiveness; Standard Error - Moldova
WWGI/MDA_GE_NO_SRC,Government Effectiveness; Number of Sources - Moldova
WWGI/MDA_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Moldova
WWGI/MDA_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Moldova
WWGI/MDA_RQ_NO_SRC,Regulatory Quality; Number of Sources - Moldova
WWGI/MDA_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Moldova
WWGI/MDA_RQ_EST,Regulatory Quality; Estimate - Moldova
WWGI/MDA_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Moldova
WWGI/MDA_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Moldova
WWGI/MDA_RQ_STD_ERR,Regulatory Quality; Standard Error - Moldova
WWGI/MDA_RL_NO_SRC,Rule of Law; Number of Sources - Moldova
WWGI/MDA_RL_EST,Rule of Law; Estimate - Moldova
WWGI/MDA_RL_STD_ERR,Rule of Law; Standard Error - Moldova
WWGI/MDA_RL_PER_RNK,Rule of Law; Percentile Rank - Moldova
WWGI/MDA_VA_PER_RNK,Voice and Accountability; Percentile Rank - Moldova
WWGI/MDA_VA_NO_SRC,Voice and Accountability; Number of Sources - Moldova
WWGI/MDA_VA_EST,Voice and Accountability; Estimate - Moldova
WWGI/MDA_VA_STD_ERR,Voice and Accountability; Standard Error - Moldova
WWGI/MDG_CC_NO_SRC,Control of Corruption; Number of Sources - Madagascar
WWGI/MDG_CC_EST,Control of Corruption; Estimate - Madagascar
WWGI/MDG_CC_STD_ERR,Control of Corruption; Standard Error - Madagascar
WWGI/MDG_CC_PER_RNK,Control of Corruption; Percentile Rank - Madagascar
WWGI/MDG_GE_EST,Government Effectiveness; Estimate - Madagascar
WWGI/MDG_GE_NO_SRC,Government Effectiveness; Number of Sources - Madagascar
WWGI/MDG_GE_PER_RNK,Government Effectiveness; Percentile Rank - Madagascar
WWGI/MDG_GE_STD_ERR,Government Effectiveness; Standard Error - Madagascar
WWGI/MDG_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Madagascar
WWGI/MDG_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Madagascar
WWGI/MDG_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Madagascar
WWGI/MDG_RQ_EST,Regulatory Quality; Estimate - Madagascar
WWGI/MDG_RQ_NO_SRC,Regulatory Quality; Number of Sources - Madagascar
WWGI/MDG_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Madagascar
WWGI/MDG_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Madagascar
WWGI/MDG_RL_PER_RNK,Rule of Law; Percentile Rank - Madagascar
WWGI/MDG_RL_NO_SRC,Rule of Law; Number of Sources - Madagascar
WWGI/MDG_RL_STD_ERR,Rule of Law; Standard Error - Madagascar
WWGI/MDG_RQ_STD_ERR,Regulatory Quality; Standard Error - Madagascar
WWGI/MDG_VA_NO_SRC,Voice and Accountability; Number of Sources - Madagascar
WWGI/MDG_RL_EST,Rule of Law; Estimate - Madagascar
WWGI/MDG_VA_EST,Voice and Accountability; Estimate - Madagascar
WWGI/MDG_VA_PER_RNK,Voice and Accountability; Percentile Rank - Madagascar
WWGI/MDG_VA_STD_ERR,Voice and Accountability; Standard Error - Madagascar
WWGI/MDV_CC_EST,Control of Corruption; Estimate - Maldives
WWGI/MDV_CC_NO_SRC,Control of Corruption; Number of Sources - Maldives
WWGI/MDV_CC_PER_RNK,Control of Corruption; Percentile Rank - Maldives
WWGI/MDV_CC_STD_ERR,Control of Corruption; Standard Error - Maldives
WWGI/MDV_GE_EST,Government Effectiveness; Estimate - Maldives
WWGI/MDV_GE_STD_ERR,Government Effectiveness; Standard Error - Maldives
WWGI/MDV_GE_NO_SRC,Government Effectiveness; Number of Sources - Maldives
WWGI/MDV_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Maldives
WWGI/MDV_GE_PER_RNK,Government Effectiveness; Percentile Rank - Maldives
WWGI/MDV_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Maldives
WWGI/MDV_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Maldives
WWGI/MDV_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Maldives
WWGI/MDV_RQ_EST,Regulatory Quality; Estimate - Maldives
WWGI/MDV_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Maldives
WWGI/MDV_RQ_STD_ERR,Regulatory Quality; Standard Error - Maldives
WWGI/MDV_RL_EST,Rule of Law; Estimate - Maldives
WWGI/MDV_RL_STD_ERR,Rule of Law; Standard Error - Maldives
WWGI/MDV_RL_NO_SRC,Rule of Law; Number of Sources - Maldives
WWGI/MDV_RL_PER_RNK,Rule of Law; Percentile Rank - Maldives
WWGI/MDV_VA_PER_RNK,Voice and Accountability; Percentile Rank - Maldives
WWGI/MDV_VA_NO_SRC,Voice and Accountability; Number of Sources - Maldives
WWGI/MDV_VA_STD_ERR,Voice and Accountability; Standard Error - Maldives
WWGI/MEX_CC_EST,Control of Corruption; Estimate - Mexico
WWGI/MEX_CC_NO_SRC,Control of Corruption; Number of Sources - Mexico
WWGI/MDV_VA_EST,Voice and Accountability; Estimate - Maldives
WWGI/MEX_CC_PER_RNK,Control of Corruption; Percentile Rank - Mexico
WWGI/MEX_CC_STD_ERR,Control of Corruption; Standard Error - Mexico
WWGI/MEX_GE_EST,Government Effectiveness; Estimate - Mexico
WWGI/MEX_GE_NO_SRC,Government Effectiveness; Number of Sources - Mexico
WWGI/MEX_GE_PER_RNK,Government Effectiveness; Percentile Rank - Mexico
WWGI/MEX_GE_STD_ERR,Government Effectiveness; Standard Error - Mexico
WWGI/MEX_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Mexico
WWGI/MEX_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Mexico
WWGI/MEX_RQ_EST,Regulatory Quality; Estimate - Mexico
WWGI/MEX_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Mexico
WWGI/MEX_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Mexico
WWGI/MDV_RQ_NO_SRC,Regulatory Quality; Number of Sources - Maldives
WWGI/MEX_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Mexico
WWGI/MEX_RQ_NO_SRC,Regulatory Quality; Number of Sources - Mexico
WWGI/MEX_RQ_STD_ERR,Regulatory Quality; Standard Error - Mexico
WWGI/MEX_RL_EST,Rule of Law; Estimate - Mexico
WWGI/MEX_RL_NO_SRC,Rule of Law; Number of Sources - Mexico
WWGI/MEX_RL_PER_RNK,Rule of Law; Percentile Rank - Mexico
WWGI/MEX_RL_STD_ERR,Rule of Law; Standard Error - Mexico
WWGI/MEX_VA_EST,Voice and Accountability; Estimate - Mexico
WWGI/MEX_VA_NO_SRC,Voice and Accountability; Number of Sources - Mexico
WWGI/MEX_VA_PER_RNK,Voice and Accountability; Percentile Rank - Mexico
WWGI/MEX_VA_STD_ERR,Voice and Accountability; Standard Error - Mexico
WWGI/MHL_CC_PER_RNK,Control of Corruption; Percentile Rank - Marshall Islands
WWGI/MHL_CC_STD_ERR,Control of Corruption; Standard Error - Marshall Islands
WWGI/MHL_CC_NO_SRC,Control of Corruption; Number of Sources - Marshall Islands
WWGI/MHL_CC_EST,Control of Corruption; Estimate - Marshall Islands
WWGI/MHL_GE_NO_SRC,Government Effectiveness; Number of Sources - Marshall Islands
WWGI/MHL_GE_EST,Government Effectiveness; Estimate - Marshall Islands
WWGI/MHL_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Marshall Islands
WWGI/MHL_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Marshall Islands
WWGI/MHL_GE_STD_ERR,Government Effectiveness; Standard Error - Marshall Islands
WWGI/MHL_GE_PER_RNK,Government Effectiveness; Percentile Rank - Marshall Islands
WWGI/MHL_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Marshall Islands
WWGI/MHL_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Marshall Islands
WWGI/MHL_RQ_EST,Regulatory Quality; Estimate - Marshall Islands
WWGI/MHL_RQ_NO_SRC,Regulatory Quality; Number of Sources - Marshall Islands
WWGI/MHL_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Marshall Islands
WWGI/MHL_RL_NO_SRC,Rule of Law; Number of Sources - Marshall Islands
WWGI/MHL_RQ_STD_ERR,Regulatory Quality; Standard Error - Marshall Islands
WWGI/MHL_RL_EST,Rule of Law; Estimate - Marshall Islands
WWGI/MHL_VA_NO_SRC,Voice and Accountability; Number of Sources - Marshall Islands
WWGI/MHL_RL_STD_ERR,Rule of Law; Standard Error - Marshall Islands
WWGI/MHL_RL_PER_RNK,Rule of Law; Percentile Rank - Marshall Islands
WWGI/MHL_VA_PER_RNK,Voice and Accountability; Percentile Rank - Marshall Islands
WWGI/MHL_VA_EST,Voice and Accountability; Estimate - Marshall Islands
WWGI/MHL_VA_STD_ERR,Voice and Accountability; Standard Error - Marshall Islands
WWGI/MKD_CC_EST,"Control of Corruption; Estimate - Macedonia, FYR"
WWGI/MKD_CC_NO_SRC,"Control of Corruption; Number of Sources - Macedonia, FYR"
WWGI/MKD_CC_PER_RNK,"Control of Corruption; Percentile Rank - Macedonia, FYR"
WWGI/MKD_CC_STD_ERR,"Control of Corruption; Standard Error - Macedonia, FYR"
WWGI/MKD_GE_NO_SRC,"Government Effectiveness; Number of Sources - Macedonia, FYR"
WWGI/MKD_GE_EST,"Government Effectiveness; Estimate - Macedonia, FYR"
WWGI/MKD_GE_PER_RNK,"Government Effectiveness; Percentile Rank - Macedonia, FYR"
WWGI/MKD_PV_EST,"Political Stability and Absence of Violence/Terrorism; Estimate - Macedonia, FYR"
WWGI/MKD_GE_STD_ERR,"Government Effectiveness; Standard Error - Macedonia, FYR"
WWGI/MKD_PV_NO_SRC,"Political Stability and Absence of Violence/Terrorism; Number of Sources - Macedonia, FYR"
WWGI/MKD_PV_PER_RNK,"Political Stability and Absence of Violence/Terrorism; Percentile Rank - Macedonia, FYR"
WWGI/MKD_PV_STD_ERR,"Political Stability and Absence of Violence/Terrorism; Standard Error - Macedonia, FYR"
WWGI/MKD_RQ_NO_SRC,"Regulatory Quality; Number of Sources - Macedonia, FYR"
WWGI/MKD_RQ_PER_RNK,"Regulatory Quality; Percentile Rank - Macedonia, FYR"
WWGI/MKD_RQ_EST,"Regulatory Quality; Estimate - Macedonia, FYR"
WWGI/MKD_RQ_STD_ERR,"Regulatory Quality; Standard Error - Macedonia, FYR"
WWGI/MKD_RL_PER_RNK,"Rule of Law; Percentile Rank - Macedonia, FYR"
WWGI/MKD_RL_NO_SRC,"Rule of Law; Number of Sources - Macedonia, FYR"
WWGI/MKD_RL_EST,"Rule of Law; Estimate - Macedonia, FYR"
WWGI/MKD_RL_STD_ERR,"Rule of Law; Standard Error - Macedonia, FYR"
WWGI/MKD_VA_NO_SRC,"Voice and Accountability; Number of Sources - Macedonia, FYR"
WWGI/MKD_VA_PER_RNK,"Voice and Accountability; Percentile Rank - Macedonia, FYR"
WWGI/MKD_VA_EST,"Voice and Accountability; Estimate - Macedonia, FYR"
WWGI/MKD_VA_STD_ERR,"Voice and Accountability; Standard Error - Macedonia, FYR"
WWGI/MLI_CC_EST,Control of Corruption; Estimate - Mali
WWGI/MLI_CC_NO_SRC,Control of Corruption; Number of Sources - Mali
WWGI/MLI_CC_PER_RNK,Control of Corruption; Percentile Rank - Mali
WWGI/MLI_CC_STD_ERR,Control of Corruption; Standard Error - Mali
WWGI/MLI_GE_NO_SRC,Government Effectiveness; Number of Sources - Mali
WWGI/MLI_GE_EST,Government Effectiveness; Estimate - Mali
WWGI/MLI_GE_PER_RNK,Government Effectiveness; Percentile Rank - Mali
WWGI/MLI_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Mali
WWGI/MLI_GE_STD_ERR,Government Effectiveness; Standard Error - Mali
WWGI/MLI_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Mali
WWGI/MLI_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Mali
WWGI/MLI_RQ_NO_SRC,Regulatory Quality; Number of Sources - Mali
WWGI/MLI_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Mali
WWGI/MLI_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Mali
WWGI/MLI_RQ_STD_ERR,Regulatory Quality; Standard Error - Mali
WWGI/MLI_RL_EST,Rule of Law; Estimate - Mali
WWGI/MLI_RL_NO_SRC,Rule of Law; Number of Sources - Mali
WWGI/MLI_RL_STD_ERR,Rule of Law; Standard Error - Mali
WWGI/MLI_VA_EST,Voice and Accountability; Estimate - Mali
WWGI/MLI_RL_PER_RNK,Rule of Law; Percentile Rank - Mali
WWGI/MLI_VA_PER_RNK,Voice and Accountability; Percentile Rank - Mali
WWGI/MLI_VA_NO_SRC,Voice and Accountability; Number of Sources - Mali
WWGI/MLT_CC_EST,Control of Corruption; Estimate - Malta
WWGI/MLI_VA_STD_ERR,Voice and Accountability; Standard Error - Mali
WWGI/MLT_CC_NO_SRC,Control of Corruption; Number of Sources - Malta
WWGI/MLT_CC_PER_RNK,Control of Corruption; Percentile Rank - Malta
WWGI/MLT_GE_EST,Government Effectiveness; Estimate - Malta
WWGI/MLT_GE_NO_SRC,Government Effectiveness; Number of Sources - Malta
WWGI/MLT_GE_PER_RNK,Government Effectiveness; Percentile Rank - Malta
WWGI/MLI_RQ_EST,Regulatory Quality; Estimate - Mali
WWGI/MLT_GE_STD_ERR,Government Effectiveness; Standard Error - Malta
WWGI/MLT_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Malta
WWGI/MLT_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Malta
WWGI/MLT_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Malta
WWGI/MLT_CC_STD_ERR,Control of Corruption; Standard Error - Malta
WWGI/MLT_RQ_EST,Regulatory Quality; Estimate - Malta
WWGI/MLT_RQ_NO_SRC,Regulatory Quality; Number of Sources - Malta
WWGI/MLT_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Malta
WWGI/MLT_RQ_STD_ERR,Regulatory Quality; Standard Error - Malta
WWGI/MLT_RL_EST,Rule of Law; Estimate - Malta
WWGI/MLT_RL_NO_SRC,Rule of Law; Number of Sources - Malta
WWGI/MLT_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Malta
WWGI/MLT_RL_PER_RNK,Rule of Law; Percentile Rank - Malta
WWGI/MLT_RL_STD_ERR,Rule of Law; Standard Error - Malta
WWGI/MLT_VA_NO_SRC,Voice and Accountability; Number of Sources - Malta
WWGI/MLT_VA_EST,Voice and Accountability; Estimate - Malta
WWGI/MMR_CC_EST,Control of Corruption; Estimate - Myanmar
WWGI/MLT_VA_STD_ERR,Voice and Accountability; Standard Error - Malta
WWGI/MLT_VA_PER_RNK,Voice and Accountability; Percentile Rank - Malta
